City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,53.47,95,100,4.38,overcast clouds
1,Tilichiki,RU,60.4667,166.1,-15.32,88,12,8.86,few clouds
2,Porto Novo,BJ,6.4965,2.6036,78.87,84,19,6.87,few clouds
3,Jamestown,US,42.097,-79.2353,21.29,79,100,10.36,overcast clouds
4,Bonfim,BR,3.0833,-59.95,82.67,58,88,9.28,overcast clouds
5,Thompson,CA,55.7435,-97.8558,-16.11,94,10,3.24,clear sky
6,Aykhal,RU,66.0,111.5,-8.97,81,69,4.16,broken clouds
7,Busselton,AU,-33.65,115.3333,64.04,60,0,12.73,clear sky
8,Beyneu,KZ,45.3167,55.2,38.66,83,98,8.68,overcast clouds
9,Hithadhoo,MV,-0.6,73.0833,81.18,70,100,11.63,overcast clouds
10,Hamilton,US,39.1834,-84.5333,29.08,76,100,9.22,overcast clouds
11,Yar-Sale,RU,66.8333,70.8333,-9.58,93,98,15.95,overcast clouds
12,Alofi,NU,-19.0595,-169.9187,81.48,75,32,17.67,scattered clouds
13,Leningradskiy,RU,69.3833,178.4167,-17.81,95,94,4.41,overcast clouds
14,Rafai,CF,4.95,23.9167,70.84,37,78,2.15,broken clouds
15,Punta Arenas,CL,-53.15,-70.9167,53.11,58,78,4.79,broken clouds
16,Vaini,TO,-21.2,-175.2,80.96,77,53,17.13,broken clouds
17,Mar Del Plata,AR,-38.0023,-57.5575,63.09,75,20,7.0,few clouds
18,East London,ZA,-33.0153,27.9116,75.34,89,2,8.03,clear sky
19,Raha,IN,26.2333,92.5167,54.7,85,0,4.25,clear sky
20,Constitucion,CL,-35.3333,-72.4167,60.82,82,1,7.0,clear sky
21,Kapaa,US,22.0752,-159.319,79.12,68,75,12.66,broken clouds
22,Shimoda,JP,34.6667,138.95,44.1,90,98,7.0,overcast clouds
23,Cape Town,ZA,-33.9258,18.4232,69.89,76,100,1.01,overcast clouds
24,Pedernales,DO,18.0384,-71.744,78.4,69,2,14.74,clear sky
25,New Norfolk,AU,-42.7826,147.0587,77.67,34,97,4.47,overcast clouds
26,Hobart,AU,-42.8794,147.3294,78.03,44,75,17.27,broken clouds
27,Auch,FR,43.65,0.5833,48.22,65,79,7.0,broken clouds
28,Saint George,US,37.1041,-113.5841,70.27,11,0,0.0,clear sky
29,Cherskiy,RU,68.75,161.3,-18.33,97,100,10.29,overcast clouds
30,Geraldton,AU,-28.7667,114.6,68.41,77,1,9.22,clear sky
31,Rabo De Peixe,PT,37.8,-25.5833,62.28,83,75,18.41,broken clouds
32,Santa Cruz Cabralia,BR,-16.2781,-39.0247,77.16,84,18,4.47,few clouds
33,Naze,JP,28.3667,129.4833,64.72,87,100,11.45,overcast clouds
34,Necochea,AR,-38.5473,-58.7368,58.03,65,1,3.13,clear sky
35,Mahebourg,MU,-20.4081,57.7,76.24,85,44,13.02,moderate rain
36,Rikitea,PF,-23.1203,-134.9692,78.96,71,0,16.82,clear sky
37,Boa Vista,BR,2.8197,-60.6733,82.92,57,90,5.91,overcast clouds
38,Loei,TH,17.4167,101.5,60.26,95,69,2.57,broken clouds
39,Castro,BR,-24.7911,-50.0119,63.91,69,32,6.42,scattered clouds
40,Hilo,US,19.7297,-155.09,79.25,69,40,9.22,scattered clouds
41,Dudinka,RU,69.4058,86.1778,-5.12,82,18,17.22,few clouds
42,Victor Harbor,AU,-35.5667,138.6167,92.46,31,90,7.74,overcast clouds
43,Hualmay,PE,-11.0964,-77.6139,71.71,77,53,7.18,broken clouds
44,Fuxin,CN,42.0156,121.6589,8.2,61,6,6.98,clear sky
45,Yakeshi,CN,49.2833,120.7333,-31.16,100,100,2.33,overcast clouds
46,Nelson Bay,AU,-32.7167,152.15,74.75,70,95,1.99,overcast clouds
47,Bonthe,SL,7.5264,-12.505,76.68,91,20,6.46,few clouds
48,Costa Rica,BR,-23.4167,-54.65,75.96,51,23,4.5,few clouds
49,Tiksi,RU,71.6872,128.8694,-8.48,90,90,14.83,overcast clouds
50,Saint-Philippe,RE,-21.3585,55.7679,78.35,83,23,10.02,few clouds
51,Atuona,PF,-9.8,-139.0333,77.67,77,13,12.55,light rain
52,Ushuaia,AR,-54.8,-68.3,42.37,68,8,2.42,clear sky
53,Asau,RO,46.4333,26.4,28.76,93,52,2.91,broken clouds
54,Tasiilaq,GL,65.6145,-37.6368,8.76,66,100,4.92,overcast clouds
55,Luanda,AO,-8.8368,13.2343,76.57,85,61,6.06,broken clouds
56,Pangnirtung,CA,66.1451,-65.7125,-19.59,99,100,6.13,overcast clouds
57,Celestun,MX,20.8667,-90.4,75.76,82,73,8.25,broken clouds
58,Arman,RU,59.7,150.1667,-3.19,77,96,6.29,overcast clouds
59,Bredasdorp,ZA,-34.5322,20.0403,66.27,83,100,1.45,overcast clouds
60,Marsala,IT,37.7966,12.4352,51.55,70,70,4.0,broken clouds
61,Bethel,US,41.3712,-73.414,50.36,57,0,10.36,clear sky
62,Souillac,MU,-20.5167,57.5167,77.36,85,33,11.16,moderate rain
63,Bluff,NZ,-46.6,168.3333,53.8,77,100,13.89,overcast clouds
64,Saskylakh,RU,71.9167,114.0833,-5.64,76,63,8.72,broken clouds
65,Jalu,LY,29.0331,21.5482,53.73,46,0,4.81,clear sky
66,Stepnogorsk,KZ,52.3544,71.8869,11.52,93,81,10.16,broken clouds
