City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mataura,NZ,53.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
2,Porto Novo,BJ,78.87,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
7,Busselton,AU,64.04,clear sky,-33.65,115.3333,Observatory Guest House
8,Beyneu,KZ,38.66,overcast clouds,45.3167,55.2,NUR
14,Rafai,CF,70.84,broken clouds,4.95,23.9167,
15,Punta Arenas,CL,53.11,broken clouds,-53.15,-70.9167,Hotel Hain
17,Mar Del Plata,AR,63.09,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
18,East London,ZA,75.34,clear sky,-33.0153,27.9116,Tu Casa
19,Raha,IN,54.7,clear sky,26.2333,92.5167,"Greedy, Brainless Rent House ( অহংকাৰী, প‌ইচাখকুৱা ভাড়াঘৰ)"
20,Constitucion,CL,60.82,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
21,Kapaa,US,79.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
22,Shimoda,JP,44.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
23,Cape Town,ZA,69.89,overcast clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
24,Pedernales,DO,78.4,clear sky,18.0384,-71.744,Hotel Costa Marina
25,New Norfolk,AU,77.67,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
26,Hobart,AU,78.03,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
27,Auch,FR,48.22,broken clouds,43.65,0.5833,Le relais de Gascogne
28,Saint George,US,70.27,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
30,Geraldton,AU,68.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
31,Rabo De Peixe,PT,62.28,broken clouds,37.8,-25.5833,Quinta das Giestas
32,Santa Cruz Cabralia,BR,77.16,few clouds,-16.2781,-39.0247,Puerto Princesa Inn
33,Naze,JP,64.72,overcast clouds,28.3667,129.4833,Shishime Hotel
34,Necochea,AR,58.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
35,Mahebourg,MU,76.24,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
36,Rikitea,PF,78.96,clear sky,-23.1203,-134.9692,People ThankYou
38,Loei,TH,60.26,broken clouds,17.4167,101.5,Ban Aloi Resort
39,Castro,BR,63.91,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
40,Hilo,US,79.25,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
43,Hualmay,PE,71.71,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
46,Nelson Bay,AU,74.75,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
47,Bonthe,SL,76.68,few clouds,7.5264,-12.505,Bonthe Holiday Village
48,Costa Rica,BR,75.96,few clouds,-23.4167,-54.65,
50,Saint-Philippe,RE,78.35,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
51,Atuona,PF,77.67,light rain,-9.8,-139.0333,Villa Enata
52,Ushuaia,AR,42.37,clear sky,-54.8,-68.3,Albatross Hotel
55,Luanda,AO,76.57,broken clouds,-8.8368,13.2343,Hotel Fórum
57,Celestun,MX,75.76,broken clouds,20.8667,-90.4,Posada Lilia
59,Bredasdorp,ZA,66.27,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
60,Marsala,IT,51.55,broken clouds,37.7966,12.4352,Villa Favorita Hotel e Resort
61,Bethel,US,50.36,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
62,Souillac,MU,77.36,moderate rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
63,Bluff,NZ,53.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
65,Jalu,LY,53.73,clear sky,29.0331,21.5482,صاحبة الفخامة
68,Hasaki,JP,37.8,scattered clouds,35.7333,140.8333,Hotel Sunrise Choshi
69,San Patricio,US,53.58,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
71,Arraial Do Cabo,BR,75.22,few clouds,-22.9661,-42.0278,Pousada Porto Praia
72,Lusambo,CD,69.62,overcast clouds,-4.9667,23.45,
73,Ponta Do Sol,PT,64.06,scattered clouds,32.6667,-17.1,Hotel do Campo
75,Jiaozuo,CN,35.98,broken clouds,35.2397,113.2331,Days Hotel and Suites Jiaozuo
76,Port Elizabeth,ZA,70.09,light intensity drizzle,-33.918,25.5701,39 On Nile Guest House
78,Bata,GQ,78.96,broken clouds,1.8639,9.7658,Hotel Elik Melen
79,Guerrero Negro,MX,75.02,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
81,Port Alfred,ZA,74.98,scattered clouds,-33.5906,26.891,The Halyards Hotel
84,Bambous Virieux,MU,76.21,moderate rain,-20.3428,57.7575,Casa Tia Villa
85,Jamame,SO,73.56,broken clouds,0.0722,42.7506,
86,Katsuura,JP,43.2,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
88,Vila Franca Do Campo,PT,63.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
90,Cidreira,BR,74.53,clear sky,-30.1811,-50.2056,Hotel Castelo
91,Seybaplaya,MX,76.46,scattered clouds,19.65,-90.6667,sala de fiesta san Rafael
93,Albany,US,34.65,broken clouds,42.6001,-73.9662,
97,Chuy,UY,67.75,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
98,Kodiak,US,38.71,few clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
99,Adrar,MR,62.13,broken clouds,20.5022,-10.0711,
100,Araouane,ML,62.22,clear sky,18.9048,-3.5265,
101,Touros,BR,79.61,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
105,Rocky Mountain House,CA,38.21,broken clouds,52.3668,-114.9188,Walking Eagle Inn & Lodge
106,Tottori,JP,32.0,overcast clouds,35.5,134.2333,Hotel Monarque Tottori
110,Puerto Ayora,EC,76.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
112,Road Town,VG,73.99,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
113,Tibati,CM,65.53,broken clouds,6.4667,12.6333,Tibati Hotel
115,Inhambane,MZ,74.3,clear sky,-23.865,35.3833,Oceano
117,Mogadishu,SO,76.44,overcast clouds,2.0371,45.3438,Hotel Juba
119,Hermanus,ZA,67.89,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
121,Nikolskoye,RU,35.49,light snow,59.7035,30.7861,Tourist House - Sablino
122,Charlestown,AU,73.11,overcast clouds,-32.95,151.6667,Panorama Motor Inn Hotel
123,Marsh Harbour,BS,75.25,few clouds,26.5412,-77.0636,Abaco Beach Resort
125,Malim,PH,79.29,overcast clouds,7.452,123.4312,Malim
126,George,ZA,67.55,overcast clouds,-33.963,22.4617,Protea Hotel by Marriott George King George
129,San Quintin,MX,71.15,overcast clouds,30.4833,-115.95,Don Eddie's Landing
131,Torbay,CA,46.76,overcast clouds,47.6666,-52.7314,Gallows Cove
132,Grand Gaube,MU,76.37,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
134,Lebu,CL,59.36,broken clouds,-37.6167,-73.65,Hostal Las Lilas
137,Westport,US,52.75,clear sky,41.1415,-73.3579,The Westport Inn
140,Yatou,CN,37.63,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
141,Kaitangata,NZ,54.93,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
142,Gombe,NG,71.55,broken clouds,10.2897,11.1673,Shinani Lodge
144,Urucara,BR,74.53,light rain,-2.5364,-57.76,Pousada Maria Bonita
145,Cabo San Lucas,MX,79.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
146,Quatre Cocos,MU,76.08,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
147,Moa,CU,75.97,few clouds,20.6569,-74.9403,Carmen
